url,title,sku,brand,category,price,discount,availability,specifications,images,scraped_at
https://kontakt.az/oturucu-apple-mw2p3zm-a,Ötürücü Apple MW2P3ZM/A,SKU:TM-DG-ACS-1109-CR-0166,Apple,,129.99,20,In Stock,"{""Brend"": ""Apple"", ""Nəzərdə tutulub"": ""iPhone üçün"", ""Portlar"": ""1x USB Type-C, 1x HDMI"", ""Qoşulma növü"": ""Lightning""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-cr-0166_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-cr-0166_4.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-cr-0166_3.png,2025-10-29 18:32:31
https://kontakt.az/pul-kisesi-apple-iphone-finewoven-w-magsafe-mgh64zm-a-fox-orange,Pul kisəsi Apple iPhone FineWoven W/MagSafe MGH64ZM/A Fox Orange,SKU:TM-DG-ACS-1267-KT-2571,Apple,,169.99,,In Stock,"{""Brend"": ""Apple"", ""Model"": ""iPhone"", ""Örtüyün materialı"": ""Parça"", ""Növ"": ""Pul kisəsi"", ""Rəng"": ""Narıncı"", ""MagSafe dəstəyi"": ""Var"", ""Uyğun olan brend"": ""Apple""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2571_2.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2571_5.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2571_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2571_4.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2571_3.png,2025-10-29 18:33:24
https://kontakt.az/pul-kisesi-apple-iphone-finewoven-w-magsafe-mgh74zm-a-moss,Pul kisəsi Apple iPhone FineWoven W/MagSafe MGH74ZM/A Moss,SKU:TM-DG-ACS-1267-KT-2572,Apple,,169.99,,In Stock,"{""Brend"": ""Apple"", ""Model"": ""iPhone"", ""Örtüyün materialı"": ""Parça"", ""Növ"": ""Pul kisəsi"", ""Rəng"": ""Tünd-yaşıl"", ""MagSafe dəstəyi"": ""Var"", ""Uyğun olan brend"": ""Apple""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2572_4.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2572_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2572_3.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2572_2.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2572_5.png,2025-10-29 18:33:37
https://kontakt.az/pul-kisesi-apple-iphone-finewoven-w-magsafe-mgh84zm-a-midnight-purple,Pul kisəsi Apple iPhone FineWoven W/MagSafe MGH84ZM/A Midnight Purple,SKU:TM-DG-ACS-1267-KT-2573,Apple,,169.99,,In Stock,"{""Brend"": ""Apple"", ""Model"": ""iPhone"", ""Örtüyün materialı"": ""Parça"", ""Növ"": ""Pul kisəsi"", ""Rəng"": ""Tünd-bənövşəyi"", ""MagSafe dəstəyi"": ""Var"", ""Uyğun olan brend"": ""Apple""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2573_3.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2573_5.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2573_6666.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2573_4.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2573_65.png,2025-10-29 18:33:50
https://kontakt.az/pul-kisesi-apple-iphone-finewoven-w-magsafe-mgha4zm-a-black,Pul kisəsi Apple iPhone FineWoven W/MagSafe MGHA4ZM/A Black,SKU:TM-DG-ACS-1267-KT-2574,Apple,,169.99,,In Stock,"{""Brend"": ""Apple"", ""Model"": ""iPhone"", ""Örtüyün materialı"": ""Parça"", ""Növ"": ""Pul kisəsi"", ""Rəng"": ""Qara"", ""MagSafe dəstəyi"": ""Var"", ""Uyğun olan brend"": ""Apple""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2574_5.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2574_12.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2574_7.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2574_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2574_6.png,2025-10-29 18:34:03
https://kontakt.az/pul-kisesi-apple-iphone-finewoven-wallet-w-magsafe-black-ma6w4zm-a,Pul kisəsi Apple iPhone Finewoven Wallet W/MagSafe Black MA6W4ZM/A,SKU:TM-DG-ACS-1267-KT-2385,Apple,,119.99,110,In Stock,"{""Brend"": ""Apple"", ""Model"": ""MagSafe dəstəkləyən iPhone"", ""Örtüyün materialı"": ""Mikrovil"", ""Növ"": ""Pul kisəsi"", ""Rəng"": ""Qara"", ""MagSafe dəstəyi"": ""Var"", ""Uyğun olan brend"": ""Apple""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2385_2.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2385_4.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2385_3.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2385.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2385_6.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2385_5.png,2025-10-29 18:34:20
https://kontakt.az/pul-kisesi-apple-iphone-finewoven-wallet-w-magsafe-blackberry-ma7a4zm-a,Pul kisəsi Apple iPhone Finewoven Wallet W/MagSafe Blackberry MA7A4ZM/A,SKU:TM-DG-ACS-1267-KT-2388,Apple,,119.99,50,In Stock,"{""Brend"": ""Apple"", ""Model"": ""MagSafe dəstəkləyən iPhone"", ""Örtüyün materialı"": ""Mikrovil"", ""Növ"": ""Pul kisəsi"", ""Rəng"": ""Bənövşəyi"", ""MagSafe dəstəyi"": ""Var"", ""Uyğun olan brend"": ""Apple""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2388.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2388_3.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2388_6.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2388_2.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2388_5.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2388_4.png,2025-10-29 18:34:35
https://kontakt.az/pul-kisesi-apple-iphone-finewoven-wallet-w-magsafe-deep-blue-ma6x4zm-a,Pul kisəsi Apple iPhone Finewoven Wallet W/MagSafe Deep Blue MA6X4ZM/A,SKU:TM-DG-ACS-1267-KT-2386,Apple,,119.99,110,In Stock,"{""Brend"": ""Apple"", ""Model"": ""MagSafe dəstəkləyən iPhone"", ""Örtüyün materialı"": ""Mikrovil"", ""Növ"": ""Pul kisəsi"", ""Rəng"": ""Göy"", ""MagSafe dəstəyi"": ""Var"", ""Uyğun olan brend"": ""Apple""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2386_4.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2386.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2386_2.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2386_5.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2386_6.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2386_3.png,2025-10-29 18:35:06
https://kontakt.az/qoruyucu-cercive-apple-iphone-air-bumper-mh004zm-a-black,Qoruyucu çərçivə Apple iPhone Air Bumper MH004ZM/A Black,SKU:TM-DG-ACS-1267-KT-2601,Apple,,99.99,40,In Stock,"{""Brend"": ""Apple"", ""Model"": ""iPhone Air"", ""Örtüyün materialı"": ""Polikarbonat"", ""Növ"": ""Qoruyucu çərçivə"", ""Rəng"": ""Qara"", ""MagSafe dəstəyi"": ""Yox"", ""Uyğun olan brend"": ""Apple""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2601_6.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2601_12.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2601_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2601_76.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2601_13.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2601_4.png,2025-10-29 18:35:20
https://kontakt.az/qoruyucu-cercive-apple-iphone-air-bumper-mh024zm-a-light-blue,Qoruyucu çərçivə Apple iPhone Air Bumper MH024ZM/A Light Blue,SKU:TM-DG-ACS-1267-KT-2602,Apple,,99.99,40,In Stock,"{""Brend"": ""Apple"", ""Model"": ""iPhone Air"", ""Örtüyün materialı"": ""Polikarbonat"", ""Növ"": ""Qoruyucu çərçivə"", ""Rəng"": ""Mavi"", ""MagSafe dəstəyi"": ""Yox"", ""Uyğun olan brend"": ""Apple""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2602_50.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2602_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2602_10.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2602_53.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2602_6.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-2602_57.png,2025-10-29 18:35:34
