sku,is_added,is_updated,category,cost_price,brand,type,attributes,is_main_product,main_product,slug,tags,name,color,image,more_images,description,size,price,discount_type,discount_value,pack_size,tax,max_quantity,stock_count,variant_status,status,is_stock,is_discount,is_hot,is_best,is_most,intrastat
SKU:TM-DG-ACS-1109-CR-0166,1,`,`,109.99000000000001,Apple,`,"Brend:Apple;Nəzərdə tutulub:iPhone üçün;Portlar:1x USB Type-C, 1x HDMI;Qoşulma növü:Lightning",0,`,ötürücü-apple-mw2p3zma,#Apple,Ötürücü Apple MW2P3ZM/A,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/ff12d46d-69f7-4c68-6423-77434ffed800/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/ff12d46d-69f7-4c68-6423-77434ffed800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/eff2cd17-c458-4487-0978-1e2c0c01a400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/ac8225ba-343e-45f5-d1e5-f78c055aea00/w=auto,q=auto,f=auto",Ötürücü Apple MW2P3ZM/A,,129.99,`,20.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1267-KT-2571,1,`,`,169.99,Apple,`,Brend:Apple;Model:iPhone;Örtüyün materialı:Parça;Növ:Pul kisəsi;Rəng:Narıncı;MagSafe dəstəyi:Var;Uyğun olan brend:Apple,0,`,pul-kisəsi-apple-iphone-finewoven-wmagsafe-mgh64zma-fox-orange,#Apple #iPhone,Pul kisəsi Apple iPhone FineWoven W/MagSafe MGH64ZM/A Fox Orange,Narıncı,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/0fea584b-51d2-4964-33a3-5a2bc940e200/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/0fea584b-51d2-4964-33a3-5a2bc940e200/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/7a479c52-94aa-4a68-6032-6a9bc9853100/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5e9ab0b8-3a41-46b3-92d0-1cc9cefd3800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5ce0cb9a-d83d-432e-99f0-a149faef0d00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/955bbfa5-ecda-4818-3721-86f6917ba600/w=auto,q=auto,f=auto",Pul kisəsi Apple iPhone FineWoven W/MagSafe MGH64ZM/A Fox Orange,,169.99,`,`,`,`,5,50,1,1,1,0,0,0,0,`
SKU:TM-DG-ACS-1267-KT-2572,1,`,`,169.99,Apple,`,Brend:Apple;Model:iPhone;Örtüyün materialı:Parça;Növ:Pul kisəsi;Rəng:Tünd-yaşıl;MagSafe dəstəyi:Var;Uyğun olan brend:Apple,0,`,pul-kisəsi-apple-iphone-finewoven-wmagsafe-mgh74zma-moss,#Apple #iPhone,Pul kisəsi Apple iPhone FineWoven W/MagSafe MGH74ZM/A Moss,Tünd-yaşıl,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/d8402061-6f14-4b8e-a89c-fd2831087d00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/d8402061-6f14-4b8e-a89c-fd2831087d00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b20c2201-a9e4-4e8b-9900-fb9b8d8ee100/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/de17b9bb-d750-4c3d-efb6-3df11135b600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1789f5db-2b69-42a2-0c24-8c20d0ecfe00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/110474d7-52e4-4694-c456-d0b3ca02c700/w=auto,q=auto,f=auto",Pul kisəsi Apple iPhone FineWoven W/MagSafe MGH74ZM/A Moss,,169.99,`,`,`,`,5,50,1,1,1,0,0,0,0,`
SKU:TM-DG-ACS-1267-KT-2573,1,`,`,169.99,Apple,`,Brend:Apple;Model:iPhone;Örtüyün materialı:Parça;Növ:Pul kisəsi;Rəng:Tünd-bənövşəyi;MagSafe dəstəyi:Var;Uyğun olan brend:Apple,0,`,pul-kisəsi-apple-iphone-finewoven-wmagsafe-mgh84zma-midnight-purple,#Apple #iPhone,Pul kisəsi Apple iPhone FineWoven W/MagSafe MGH84ZM/A Midnight Purple,Tünd-bənövşəyi,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/51e933ab-4621-4067-bcaa-5e213b936a00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/51e933ab-4621-4067-bcaa-5e213b936a00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/86513911-ecf3-410d-3adf-5714a5753000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/45b225b3-39c7-46ab-bfb8-457df4561100/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/834931cd-c778-42e0-bcfc-011685413f00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/30de07b5-6b1b-417a-6b1d-064aa20dfa00/w=auto,q=auto,f=auto",Pul kisəsi Apple iPhone FineWoven W/MagSafe MGH84ZM/A Midnight Purple,,169.99,`,`,`,`,5,50,1,1,1,0,0,0,0,`
SKU:TM-DG-ACS-1267-KT-2574,1,`,`,169.99,Apple,`,Brend:Apple;Model:iPhone;Örtüyün materialı:Parça;Növ:Pul kisəsi;Rəng:Qara;MagSafe dəstəyi:Var;Uyğun olan brend:Apple,0,`,pul-kisəsi-apple-iphone-finewoven-wmagsafe-mgha4zma-black,#Apple #iPhone,Pul kisəsi Apple iPhone FineWoven W/MagSafe MGHA4ZM/A Black,Qara,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1d80af31-d481-433a-4bba-29e488f87900/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1d80af31-d481-433a-4bba-29e488f87900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/4c1d04fb-4309-4c54-3f51-25fe036b5000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/dbffdac5-8ee2-40e7-f1e3-8f2a317dcc00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/a001795a-0418-4323-3a85-1c53261e3300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/0c6e3a60-fd7f-4905-28b9-a461b8e75200/w=auto,q=auto,f=auto",Pul kisəsi Apple iPhone FineWoven W/MagSafe MGHA4ZM/A Black,,169.99,`,`,`,`,5,50,1,1,1,0,0,0,0,`
SKU:TM-DG-ACS-1267-KT-2385,1,`,`,9.989999999999995,Apple,`,Brend:Apple;Model:MagSafe dəstəkləyən iPhone;Örtüyün materialı:Mikrovil;Növ:Pul kisəsi;Rəng:Qara;MagSafe dəstəyi:Var;Uyğun olan brend:Apple,0,`,pul-kisəsi-apple-iphone-finewoven-wallet-wmagsafe-black-ma6w4zma,#Apple #iPhone,Pul kisəsi Apple iPhone Finewoven Wallet W/MagSafe Black MA6W4ZM/A,Qara,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/59eaa10c-85f4-4756-2621-0111df7c8b00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/59eaa10c-85f4-4756-2621-0111df7c8b00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/bc492568-a1fc-4e2f-6e58-b976877a8f00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/370c8faa-ddca-4cfb-be65-13f9958cf200/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/a1f2e1cf-10c5-4448-ad6a-2fc1edfd9600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/8e49bcf3-2b29-483a-0755-68103792c600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/60ff8a29-67de-40e7-b421-be22365d3100/w=auto,q=auto,f=auto",Pul kisəsi Apple iPhone Finewoven Wallet W/MagSafe Black MA6W4ZM/A,,119.99,`,110.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1267-KT-2388,1,`,`,69.99,Apple,`,Brend:Apple;Model:MagSafe dəstəkləyən iPhone;Örtüyün materialı:Mikrovil;Növ:Pul kisəsi;Rəng:Bənövşəyi;MagSafe dəstəyi:Var;Uyğun olan brend:Apple,0,`,pul-kisəsi-apple-iphone-finewoven-wallet-wmagsafe-blackberry-ma7a4zma,#Apple #iPhone,Pul kisəsi Apple iPhone Finewoven Wallet W/MagSafe Blackberry MA7A4ZM/A,Bənövşəyi,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/efb158df-26b5-4bcc-e236-2d50bc127500/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/efb158df-26b5-4bcc-e236-2d50bc127500/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/079ed910-c8f6-4108-cca4-59fcbc130800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/2c2a1afc-6ad9-4d44-35b4-71e3ccfe8300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/52ef1bc0-7855-4f22-f9a2-0f344516ab00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/434543c2-c3fe-4420-ee2e-2f735eb8c100/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/fca1e722-bb5f-471c-4ae2-903766a65e00/w=auto,q=auto,f=auto",Pul kisəsi Apple iPhone Finewoven Wallet W/MagSafe Blackberry MA7A4ZM/A,,119.99,`,50.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1267-KT-2386,1,`,`,9.989999999999995,Apple,`,Brend:Apple;Model:MagSafe dəstəkləyən iPhone;Örtüyün materialı:Mikrovil;Növ:Pul kisəsi;Rəng:Göy;MagSafe dəstəyi:Var;Uyğun olan brend:Apple,0,`,pul-kisəsi-apple-iphone-finewoven-wallet-wmagsafe-deep-blue-ma6x4zma,#Apple #iPhone,Pul kisəsi Apple iPhone Finewoven Wallet W/MagSafe Deep Blue MA6X4ZM/A,Göy,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/8f445838-5ceb-4e53-7340-8e1203595300/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/8f445838-5ceb-4e53-7340-8e1203595300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/01deeb58-4d1a-4a0f-3ca9-cec5b2625800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/71e0dfb6-145d-4d88-5e99-6763b34d9e00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/84260621-f9a7-443a-96ac-859867502d00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e1bcac37-175c-41e0-5e60-641376b9b800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1831cf44-57b1-425c-f2ed-7d78689d4a00/w=auto,q=auto,f=auto",Pul kisəsi Apple iPhone Finewoven Wallet W/MagSafe Deep Blue MA6X4ZM/A,,119.99,`,110.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1267-KT-2601,1,`,`,59.989999999999995,Apple,`,Brend:Apple;Model:iPhone Air;Örtüyün materialı:Polikarbonat;Növ:Qoruyucu çərçivə;Rəng:Qara;MagSafe dəstəyi:Yox;Uyğun olan brend:Apple,0,`,qoruyucu-çərçivə-apple-iphone-air-bumper-mh004zma-black,#Apple #iPhone,Qoruyucu çərçivə Apple iPhone Air Bumper MH004ZM/A Black,Qara,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/806e760c-c28a-46fc-3966-57a33ec92100/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/806e760c-c28a-46fc-3966-57a33ec92100/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/2cad5cbf-d036-4cbb-a398-d8f75fd60400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/c3988502-db09-48ec-6214-a5bd3fba6600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/bdc15071-af12-47dc-9b37-9576bd08d300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1ffb7172-7c3b-4eec-e494-3281577af900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/43a2f0e1-1575-4e4c-d721-b8b605071200/w=auto,q=auto,f=auto",Qoruyucu çərçivə Apple iPhone Air Bumper MH004ZM/A Black,,99.99,`,40.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1267-KT-2602,1,`,`,59.989999999999995,Apple,`,Brend:Apple;Model:iPhone Air;Örtüyün materialı:Polikarbonat;Növ:Qoruyucu çərçivə;Rəng:Mavi;MagSafe dəstəyi:Yox;Uyğun olan brend:Apple,0,`,qoruyucu-çərçivə-apple-iphone-air-bumper-mh024zma-light-blue,#Apple #iPhone,Qoruyucu çərçivə Apple iPhone Air Bumper MH024ZM/A Light Blue,Mavi,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/45d95005-7ecc-4d66-8009-093c8a9d8f00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/45d95005-7ecc-4d66-8009-093c8a9d8f00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1b214823-93d4-410f-66f9-3d0673318900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e3cbeaf8-8475-4224-d90c-b003107f8800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9d3b2a61-0c31-47ff-59e5-b6089a7df300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e238f0da-4d05-4db7-aa00-b07db95bb100/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/56596699-b4a9-465e-5d05-fd35a88c9500/w=auto,q=auto,f=auto",Qoruyucu çərçivə Apple iPhone Air Bumper MH024ZM/A Light Blue,,99.99,`,40.0,`,`,5,50,1,1,1,1,0,0,0,`
